Section,Item,XS_0801,XS_0803,XS_0805,XS_0807,XS_0811,XS_0814,XS_0815,XS_0819,XS_0820,XS_0821,XS_0822,XS_0825,XS_0826,XS_1201,XS_1205,XS_1208,XS_1211,XS_1216,XS_1218,XS_1219,XS_1222,XS_1224,XS_1225,XS_1229,XS_1230,XS_1604,XS_1612,XS_1614,XS_1619,XS_1622,XS_1628,XS_1629,XS_1631,XS_1634,XS_1635,XS_1636,XS_1638,XS_1639
B. Phrases,Time to go night night.,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,No,No,Understands,No,Understands,No,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands
B. Phrases,Throw the ball.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,No,Understands,Understands,No,No,No,No,Understands,Understands
B. Phrases,This little piggy.,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No
B. Phrases,Want to go for a ride? ,No,Understands,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,Understands,Understands,No,No,Understands,Understands,No,Understands,No,No,No,Understands,Understands,No,No
C. Starting to Talk,"Some children like to ""parrot"" or imitate things that they've just heard (including new words that they are just learning, and/or parts of sentences, for example, repeating ""work now"" after mother says ""Mommy's going to work now."") How often does your child imitate words?",Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Sometimes,Never,Sometimes,Sometimes,Often,Sometimes,Often,Never,Never,Never,Never,Never,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes
C. Starting to Talk,"Some children like to go around naming or labeling things, as though proud of knowing the names and wanting to show this. How often does your child do this?",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,NA,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Often,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Often
Sound Effects and Animal Sounds,baa baa,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Produces,Produces,Understands,No,Produces,Produces,No,Understands,Understands,Produces,Produces,Produces,No,No,No
Sound Effects and Animal Sounds,choo choo,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Produces,No,Produces,Produces,Understands,Understands,No,Understands,Understands,No,No,Produces,Understands,No,Understands
Sound Effects and Animal Sounds,cockadoodledoo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,No,No,Understands,No,No,Understands,Understands,Understands,No,No
Sound Effects and Animal Sounds,grrr,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,No,No,No,No,No,Produces,Produces,Produces,Produces,No,No,Understands,No,No,Produces,No,No,Produces,No
Sound Effects and Animal Sounds,meow,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,Understands,Understands,No,Understands,Understands,No,No,Understands,Understands,No,Produces,Understands,Produces,Understands,Produces,Understands,Understands,Understands,Understands,Produces,Produces,Understands,No,Produces
Sound Effects and Animal Sounds,moo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,Produces,Produces,Produces,No,No,Understands,No,Understands,Produces,Produces,Understands,No,Understands
Sound Effects and Animal Sounds,ouch,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Produces,No,Produces,Produces,No,No,No,Understands,Understands,Produces,No,No,No
Sound Effects and Animal Sounds,quack quack,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,Understands,Understands,Understands,No,Produces,Produces,Produces,Understands,No,Understands,No,Understands,Understands,Produces,Understands,No,Understands
Sound Effects and Animal Sounds,uh oh,No,No,Understands,No,No,No,No,No,Understands,No,No,No,No,Understands,Understands,Produces,No,Understands,Understands,No,No,Produces,No,Produces,No,Produces,Produces,Produces,Produces,No,Produces,Produces,Produces,Produces,Produces,Produces,Produces,Produces
Sound Effects and Animal Sounds,vroom,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,Produces,No,Understands,Produces,Understands,Produces,No,Produces,No,Produces,Understands,Produces,No,Produces,No
Sound Effects and Animal Sounds,woof woof,No,No,Understands,No,No,No,No,Understands,No,No,Understands,No,No,Understands,No,Understands,No,No,No,No,Understands,No,Understands,Produces,Understands,Produces,No,Produces,Understands,No,Understands,No,Produces,Produces,Produces,Understands,Produces,Produces
Sound Effects and Animal Sounds,yum yum,No,No,No,No,No,No,No,Understands,No,No,Produces,No,No,Understands,Understands,Understands,No,No,Understands,No,No,Produces,No,Understands,Produces,Understands,Produces,Produces,Produces,No,Produces,Produces,Understands,Understands,Produces,No,No,Produces
Animals Names,animal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No
Animals Names,bear,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,No,No,Understands,No,No,No,Understands,Understands,No,No
Animals Names,bee,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,Understands,No,No,No,Produces,Understands,No,No
Animals Names,bird,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Produces,Understands,Understands,Understands,Produces,Produces,No,Understands,No,Produces,Understands,Produces,Understands,Produces,Produces
Animals Names,bug,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,Understands,No,No
Animals Names,bunny,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,Understands,Produces,Understands,No,Understands,Understands,No,Understands,Produces,Understands,No,No
Animals Names,butterfly,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,Understands,No,No,Understands,No,Produces
Animals Names,cat,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,Understands,No,Produces,Understands,No,No,No,Understands,No,Understands,Understands,Produces,Produces,Understands,Understands,Understands,Produces,Understands,Understands,Produces,Understands,No,Understands
Animals Names,chicken,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Produces,No,No,Understands,No,No,Understands,No,Understands,No,Produces,Understands,No,No
Animals Names,cow,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Produces,Understands,Understands,Understands,No,No,Understands,Produces,Understands,No,Understands
Animals Names,deer,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Animals Names,dog,No,No,Understands,No,No,No,No,Understands,Understands,No,Understands,No,No,Produces,No,Understands,Produces,Understands,Understands,No,No,No,No,Produces,Produces,Understands,Produces,Produces,Produces,No,Produces,Produces,Understands,Produces,Produces,Understands,Produces,Produces
Animals Names,donkey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Animals Names,duck,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,Understands,No,No,No,No,No,Understands,No,Produces,Produces,Produces,Understands,Produces,Understands,No,Understands,Understands,Produces,Understands,No,Understands
Animals Names,elephant,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,No,No,Understands,No,Understands,No,Produces,Understands,No,Understands
Animals Names,fish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,Understands,Produces,No,No,Understands,No,No,No,Produces,Understands,No,No
Animals Names,frog,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,Understands,Understands,Produces,Understands,No,Understands,Understands,No,No
Animals Names,giraffe,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,Understands,Understands,No,No,No
Animals Names,goose,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Animals Names,horse,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,Understands,No,No,No,Produces,Understands,No,No
Animals Names,kitty,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Produces,No,Produces,Understands,No,No,No,Understands,Produces,Understands,Understands,Produces,Understands,Understands,No,Understands,Produces,Understands,Understands,No,Understands,No,Understands
Animals Names,lamb,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Understands,No,No
Animals Names,lion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,No,Understands,No,No,No,Understands,Understands,No,No
Animals Names,monkey,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Produces,No,No,Understands,Understands,No,Understands,Produces,Understands,No,Understands
Animals Names,mouse,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,Understands,No,No,No,Understands,No,No,No
Animals Names,owl,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,No,No,Understands,No,No,No,No,No,No,Produces
Animals Names,penguin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,Understands,No,No,No,No,No,No,No
Animals Names,pig,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,No,No,No,Understands,Understands,No,Understands,No,Understands,Understands,No,Understands,No,No,Understands,No,Understands,No,No
Animals Names,pony,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Animals Names,puppy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Produces,No,Understands,No,Understands,Understands,No,No,Understands,Understands,No,No,Understands,No,Understands
Animals Names,sheep,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,No,No,Understands,No,No,Understands,Understands,Understands,No,No
Animals Names,squirrel,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,Understands,Understands,No,No,No,Understands,No,No,No
Animals Names,teddy bear,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,Understands,No,No,No,No,Produces,Understands,No,No,No,No,No,No,Understands,No,Understands
Animals Names,tiger,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Understands,No,No,No,Understands,No,No,No
Animals Names,turkey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No
Animals Names,turtle,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Produces,No,No,Understands,No,No,Understands,Produces,Understands,No,No
Vehicles,airplane,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,Produces,Produces,No,Understands,No,No,No,Produces,Understands,Understands,Produces
Vehicles,bicycle,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Produces,Understands,No,Understands,No,No,No,Produces,No,No,Understands
Vehicles,bus,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Understands,Understands,No,No,No,No,No,Produces,No,No,No
Vehicles,car,No,No,Understands,No,Understands,No,No,No,No,No,No,No,No,Understands,Understands,No,Understands,No,Understands,No,No,No,No,Understands,Understands,Understands,Understands,Produces,Understands,Understands,Understands,Understands,No,No,Produces,Understands,No,No
Vehicles,fire truck,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,Understands,No,No,Understands,No,No,No,Produces,No,No,No
Vehicles,motorcycle,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,Understands
Vehicles,stroller,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,Understands,No,Understands,No,Understands,Understands,Understands,Understands,No,Understands,Understands,No,No,Understands,Understands,No,No
Vehicles,train,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Produces,No,Understands,Understands,Understands,No,No,Produces,Understands,No,Understands
Vehicles,truck,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,No,Understands,Understands,No,No,No,No,Understands,No,Understands,Understands,Understands,Understands,No,Understands,No,No,No,Understands,No,No,Produces
Toys,ball,No,No,Understands,No,No,No,No,No,Understands,No,Understands,No,No,Understands,Understands,Produces,Understands,Understands,Understands,No,No,Understands,Understands,Produces,Produces,Understands,Produces,Produces,Produces,No,Produces,Understands,Produces,Produces,Produces,Understands,Produces,Produces
Toys,balloon,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,No,No,No,Understands,Produces,Understands,No,Understands,Understands,Produces,Understands,No,Produces,No,Understands,Understands,Produces,No,Understands,Produces
Toys,block,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,No,Produces,Understands,No,Produces,Understands,No,Understands,Understands,Understands,No,Understands
Toys,book,No,No,Understands,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,Produces,Understands,Understands,No,Produces,No,Understands,Understands,Understands,Understands,Understands,Produces,Produces,Produces,Produces,Produces,Understands,Produces,Understands,Understands,Understands,Understands,Produces
Toys,bubbles,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,Produces,Produces,Understands,No,Produces,No,Understands,Produces,Produces,Understands,Produces,Produces
Toys,doll,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,Produces,No,Understands,Understands,Understands,Understands,No,No,No,No,Understands
Toys,pen,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,No,No,No,No,Understands,No,No
Toys,toy,No,No,Understands,No,No,No,No,No,Understands,No,No,No,No,No,Understands,Understands,Understands,No,No,No,No,Understands,No,No,Understands,No,No,Understands,Produces,No,Understands,No,Understands,Understands,No,Understands,No,Understands
Food and Drink,apple,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,Produces,Understands,Understands,Understands,No,Understands,No,Understands,Understands,No,Produces
Food and Drink,banana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,No,No,No,Understands,Understands,Produces,Understands,Produces,Produces,Produces,Produces,Understands,Understands,Produces,Produces,Understands,No,Understands
Food and Drink,bread,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Understands,Understands,Understands,No,Produces,No,No,Understands,No,Understands,No,Produces
Food and Drink,butter,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No
Food and Drink,cake,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,No,No,No,No,No,No,No,No,No
Food and Drink,candy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Food and Drink,carrots,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,Understands,No,No,Understands,Understands,No,No,No,Understands,No,No,No,No,No,Understands,No,No
Food and Drink,cereal,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,Understands,No,No,No,No,No,No,No,Understands,Understands,No,Understands,Understands,No,Understands,No,No,No,Understands,No,No,Understands
Food and Drink,cheerios,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,Produces,Understands,No,No,No,No,Understands,No,Produces,Understands,Understands,Understands,Understands,Produces,No,Understands,No,No,Understands,Produces,Understands,Produces,Understands
Food and Drink,cheese,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,Understands,No,No,No,No,No,No,Produces,Produces,Produces,No,Produces,Produces,No,Produces,Understands,No,Understands,Produces,Understands,No,Understands
Food and Drink,chicken,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,Understands,No,Understands,No,No,Understands,No,No,Understands,No,No
Food and Drink,coffee,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,No,Understands,No,No,No,Understands,No,No,No,No,Produces,No,No,No
Food and Drink,cookie,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Produces,No,No,No,Understands,No,Understands,No,Produces,No,No,Understands
Food and Drink,cracker,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,Understands,Understands,No,No,No,No,No,Understands,No,Understands,Produces,Understands,Understands,Produces,Understands,Understands,No,Understands,Produces,Understands,No,Understands
Food and Drink,drink,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Produces,Understands,No,Produces,No,Understands,Understands,Understands,Understands,No,Understands,Understands,Understands,No,Understands
Food and Drink,egg,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,No,No,No,No,No,No,No,No,Understands,No,Understands,Produces,No,No,Understands,No,No,No,Produces,Understands,No,No
Food and Drink,fish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,No,No,No,Understands,Produces,No,No,No,No,No,No,No
Food and Drink,food,No,No,No,No,No,No,No,No,Understands,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,No,Understands,Understands,No,Understands,No,No,Understands,Understands,Understands,Understands,Understands
Food and Drink,ice cream,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,Understands,Understands,Produces,No,No,No,No,No,Understands,Understands,No,No
Food and Drink,juice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Produces,No,No,Produces,No,No,No,No,Understands,Understands,No,No,Understands,No,Understands
Food and Drink,meat,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Understands,No,No,No,No,No,No,No,No,No,No,No,No,No,No
