"group","video","frame","is_face"
"16","XS_1634","16607","True"
"8","XS_0811","06639","True"
"16","XS_1622","17741","True"
"8","XS_0826","13990","False"
"8","XS_0807","06421","True"
"12","XS_1229","03746","True"
"8","XS_0811","09198","False"
"8","XS_0801","00232","True"
"8","XS_0814","02582","True"
"12","XS_1219","00173","False"
"8","XS_0826","07762","True"
"8","XS_0801","02514","True"
"8","XS_0801","07409","False"
"12","XS_1230","02494","False"
"16","XS_1622","22415","True"
"12","XS_1224","13704","False"
"16","XS_1614","10214","True"
"16","XS_1635","15451","False"
"16","XS_1639","25278","True"
"8","XS_0825","08534","False"
"12","XS_1208","04489","False"
"12","XS_1222","15704","False"
"8","XS_0825","09725","False"
"16","XS_1629","06669","False"
"12","XS_1229","09579","True"
"12","XS_1230","02384","True"
"8","XS_0807","14629","True"
"8","XS_0805","02543","False"
"8","XS_0814","06957","False"
"16","XS_1631","19327","False"
"16","XS_1638","13280","True"
"12","XS_1216","00173","True"
"8","XS_0822","07990","False"
"12","XS_1216","22900","False"
"8","XS_0819","05283","False"
"16","XS_1634","06754","True"
"16","XS_1638","07913","False"
"16","XS_1639","18381","False"
"12","XS_1224","14590","True"
"8","XS_0807","15619","True"
"16","XS_1638","08287","True"
"12","XS_1201","03329","False"
"8","XS_0807","13897","True"
"12","XS_1211","05509","True"
"16","XS_1638","13233","True"
"12","XS_1218","01980","False"
"8","XS_0814","02631","True"
"12","XS_1211","41042","False"
"12","XS_1211","35861","True"
"16","XS_1638","19358","False"
"8","XS_0826","09628","True"
"12","XS_1230","01981","False"
"12","XS_1218","01733","False"
"16","XS_1628","06513","True"
"12","XS_1224","04350","True"
"12","XS_1224","18087","True"
"8","XS_0805","15243","True"
"12","XS_1229","02760","False"
"12","XS_1222","07408","False"
"16","XS_1622","13281","True"
"8","XS_0826","09658","True"
"8","XS_0801","15755","False"
"16","XS_1612","04590","True"
"16","XS_1631","00461","True"
"12","XS_1225","18825","True"
"16","XS_1639","04618","True"
"8","XS_0811","11645","True"
"12","XS_1208","04451","False"
"8","XS_0805","18923","False"
"16","XS_1614","03476","False"
"16","XS_1634","24528","True"
"16","XS_1628","32558","False"
"12","XS_1229","10468","False"
"8","XS_0819","24428","False"
"16","XS_1614","15891","True"
"8","XS_0821","26958","True"
"16","XS_1638","09618","False"
"8","XS_0801","09357","False"
"16","XS_1635","11311","False"
"8","XS_0825","22145","False"
"12","XS_1216","02232","False"
"12","XS_1218","17014","False"
"8","XS_0801","00293","True"
"16","XS_1634","17251","False"
"16","XS_1622","04601","False"
"12","XS_1225","45292","True"
"8","XS_0807","16975","False"
"16","XS_1635","20493","False"
"8","XS_0814","15528","False"
"8","XS_0821","03193","False"
"8","XS_0822","19170","True"
"16","XS_1614","03722","False"
"16","XS_1629","03308","True"
"8","XS_0819","14665","False"
"8","XS_0826","01390","False"
"8","XS_0814","03139","True"
"12","XS_1201","01912","False"
"8","XS_0814","06454","False"
"12","XS_1219","23035","True"
"12","XS_1225","29453","False"
"16","XS_1639","20504","False"
"12","XS_1224","25104","False"
"8","XS_0805","03859","False"
"8","XS_0815","24223","True"
"8","XS_0815","23294","True"
"16","XS_1622","17974","True"
"16","XS_1628","28843","False"
"8","XS_0814","05591","False"
"8","XS_0826","09311","True"
"16","XS_1629","03544","True"
"16","XS_1635","10675","False"
"12","XS_1211","61918","False"
"8","XS_0815","23593","True"
"12","XS_1225","05475","False"
"12","XS_1230","05638","True"
"12","XS_1216","17279","False"
"12","XS_1208","06968","False"
"16","XS_1639","00774","True"
"16","XS_1604","01536","True"
"12","XS_1230","06540","False"
"16","XS_1634","16685","False"
"12","XS_1211","61820","True"
"16","XS_1638","23887","True"
"12","XS_1208","00401","True"
"16","XS_1638","15308","False"
"16","XS_1619","05685","False"
"12","XS_1225","22254","True"
"8","XS_0811","10832","False"
"8","XS_0811","01456","False"
"8","XS_0825","09324","False"
"16","XS_1604","16989","True"
"12","XS_1218","16659","False"
"16","XS_1604","09986","True"
"12","XS_1216","04400","False"
"16","XS_1614","19614","True"
"12","XS_1205","35987","True"
"8","XS_0803","01586","False"
"8","XS_0801","08270","False"
"8","XS_0815","25280","False"
"12","XS_1201","05057","True"
"12","XS_1201","05190","False"
"12","XS_1211","28129","False"
"12","XS_1224","09503","False"
"16","XS_1629","08814","False"
"12","XS_1208","04762","True"
"8","XS_0815","09612","True"
"8","XS_0821","01438","False"
"16","XS_1604","23374","False"
"12","XS_1225","18520","False"
"16","XS_1635","05252","True"
"8","XS_0811","11291","True"
"12","XS_1218","08692","False"
"8","XS_0807","15941","True"
"8","XS_0814","19349","False"
"8","XS_0811","06804","True"
"8","XS_0822","01800","True"
"8","XS_0811","12237","False"
"8","XS_0819","10398","False"
"16","XS_1622","24668","False"
"12","XS_1205","63100","True"
"12","XS_1218","20292","False"
"8","XS_0822","15398","False"
"16","XS_1614","14076","True"
"12","XS_1230","02413","True"
"16","XS_1622","04770","True"
"12","XS_1205","10535","False"
"8","XS_0815","24491","True"
"12","XS_1229","00150","True"
"12","XS_1225","35996","False"
"16","XS_1628","00112","False"
"16","XS_1619","25028","True"
"8","XS_0819","15826","False"
"16","XS_1619","10697","True"
"12","XS_1229","01896","True"
"16","XS_1614","20388","True"
"12","XS_1225","24226","True"
"8","XS_0801","00175","True"
"12","XS_1216","19792","False"
"8","XS_0803","01017","False"
"8","XS_0805","12620","False"
"16","XS_1614","13582","False"
"12","XS_1219","02588","True"
"16","XS_1638","16540","False"
"8","XS_0803","14266","False"
"16","XS_1639","10709","True"
"8","XS_0821","14373","False"
"16","XS_1635","01279","True"
"16","XS_1631","19900","False"
"12","XS_1224","13844","True"
"8","XS_0805","01912","True"
"16","XS_1629","14842","False"
"16","XS_1604","19623","True"
"12","XS_1218","02083","False"
"8","XS_0822","20178","False"
"16","XS_1635","17542","True"
"8","XS_0801","03792","False"
"16","XS_1635","08936","True"
"8","XS_0807","14646","True"
"12","XS_1205","32594","False"
"16","XS_1612","08710","True"
"12","XS_1201","05091","True"
"16","XS_1631","13894","True"
"12","XS_1205","36972","True"
"12","XS_1208","04975","True"
"16","XS_1612","10119","True"
"12","XS_1222","06006","True"
"16","XS_1631","13898","True"
"8","XS_0815","15497","False"
"8","XS_0819","16471","False"
"8","XS_0826","02042","True"
"8","XS_0821","11335","False"
"16","XS_1619","17607","True"
"16","XS_1628","18779","True"
"12","XS_1218","20636","False"
"8","XS_0822","26897","False"
"12","XS_1208","02752","True"
"8","XS_0825","26677","False"
"12","XS_1219","21624","True"
"8","XS_0805","15585","True"
"12","XS_1205","53649","False"
"8","XS_0811","11278","True"
"8","XS_0814","01290","False"
"12","XS_1205","47672","False"
"12","XS_1225","01051","True"
"8","XS_0814","15727","True"
"12","XS_1222","07326","True"
"8","XS_0822","21679","True"
"8","XS_0805","08348","False"
"12","XS_1219","05927","False"
"12","XS_1211","49089","False"
"8","XS_0815","16478","True"
"12","XS_1219","25120","True"
"8","XS_0807","16211","False"
"16","XS_1604","15855","True"
"12","XS_1205","38288","True"
"8","XS_0825","17820","False"
"16","XS_1622","02083","False"
"16","XS_1619","08541","True"
"16","XS_1634","14690","False"
"8","XS_0801","02108","True"
"8","XS_0825","10957","False"
"16","XS_1631","15421","False"
"12","XS_1201","02832","False"
"16","XS_1622","09018","False"
"12","XS_1205","62948","True"
"16","XS_1614","01249","False"
"8","XS_0807","13216","False"
"16","XS_1604","10248","False"
"16","XS_1638","06803","False"
"16","XS_1639","25038","False"
"16","XS_1634","09651","True"
"12","XS_1222","20944","True"
"16","XS_1631","06400","True"
"8","XS_0803","21552","True"
"8","XS_0803","08183","False"
"16","XS_1619","22184","False"
"8","XS_0814","02574","True"
"12","XS_1224","03408","True"
"8","XS_0805","12962","True"
"8","XS_0826","13734","False"
"12","XS_1216","21918","False"
"8","XS_0811","07919","True"
"8","XS_0821","28189","True"
"12","XS_1219","08360","True"
"16","XS_1639","04993","False"
"12","XS_1230","00314","True"
"8","XS_0815","05938","False"
"8","XS_0807","05750","False"
"8","XS_0801","11868","False"
"12","XS_1216","21319","True"
"12","XS_1224","09032","True"
"12","XS_1205","03158","False"
"16","XS_1629","00515","True"
"12","XS_1224","10180","False"
"16","XS_1619","15743","False"
"8","XS_0822","00336","True"
"16","XS_1604","22480","False"
"16","XS_1634","22394","False"
"16","XS_1635","04494","True"
"12","XS_1225","53961","True"
"8","XS_0819","23679","False"
"16","XS_1628","12064","False"
"12","XS_1205","37041","True"
"12","XS_1219","04051","False"
"8","XS_0803","09583","False"
"16","XS_1622","14812","True"
"16","XS_1628","35432","False"
"8","XS_0819","21593","False"
"12","XS_1230","01744","True"
"16","XS_1631","07592","False"
"8","XS_0819","22651","False"
"16","XS_1604","25427","True"
"8","XS_0807","11459","False"
"16","XS_1614","17940","False"
"8","XS_0815","23108","True"
"12","XS_1224","06026","True"
"8","XS_0822","06271","True"
"8","XS_0815","25417","True"
"12","XS_1219","04261","False"
"12","XS_1225","08227","False"
"8","XS_0811","10096","False"
"12","XS_1211","37365","False"
"12","XS_1225","14809","True"
"16","XS_1634","13011","False"
"8","XS_0825","25662","False"
"8","XS_0814","02556","True"
"8","XS_0801","19022","False"
"16","XS_1614","07635","False"
"12","XS_1208","14534","False"
"8","XS_0825","19722","False"
"8","XS_0819","10481","False"
"16","XS_1628","02279","True"
"12","XS_1225","05727","False"
"8","XS_0821","19851","False"
"8","XS_0825","23164","False"
"8","XS_0811","13067","False"
"16","XS_1634","00198","False"
"8","XS_0821","27781","True"
"12","XS_1222","24064","False"
"16","XS_1631","03642","False"
"8","XS_0825","19825","False"
"16","XS_1604","21370","True"
"8","XS_0821","00582","False"
"12","XS_1229","06124","True"
"12","XS_1201","05083","True"
"8","XS_0805","03487","False"
"16","XS_1639","24086","False"
"16","XS_1629","25906","False"
"16","XS_1612","08665","True"
"16","XS_1612","03334","True"
"12","XS_1211","03607","True"
"16","XS_1629","21955","False"
"12","XS_1218","21040","False"
"16","XS_1614","27133","True"
"8","XS_0814","07351","False"
"8","XS_0821","16715","False"
"12","XS_1201","04924","True"
"12","XS_1229","04323","False"
"16","XS_1619","09775","True"
"16","XS_1629","23972","False"
"16","XS_1604","23109","True"
"8","XS_0819","07723","False"
"8","XS_0826","02115","True"
"12","XS_1201","00600","False"
"16","XS_1631","07302","False"
"12","XS_1230","03697","False"
"12","XS_1222","07036","False"
"8","XS_0815","07606","False"
"8","XS_0821","23380","False"
"12","XS_1205","65488","False"
"16","XS_1635","16880","True"
"16","XS_1628","08869","True"
"16","XS_1629","03565","True"
"12","XS_1222","23153","True"
"12","XS_1222","01827","True"
"8","XS_0822","06782","True"
"12","XS_1229","01100","False"
"12","XS_1219","19061","False"
"16","XS_1604","17768","False"
"16","XS_1612","03904","False"
"12","XS_1208","06649","True"
"12","XS_1230","04483","False"
"8","XS_0815","07280","True"
"12","XS_1219","08291","False"
"12","XS_1222","22157","True"
"12","XS_1219","02542","True"
"12","XS_1229","09985","False"
"16","XS_1639","16517","True"
"16","XS_1635","18134","False"
"8","XS_0801","13708","False"
"12","XS_1225","43293","False"
"16","XS_1628","25744","False"
"16","XS_1638","08792","True"
"8","XS_0803","21728","True"
"8","XS_0822","23667","False"
"12","XS_1201","04778","True"
"12","XS_1216","16193","False"
"8","XS_0811","04909","False"
"16","XS_1639","01050","False"
"8","XS_0803","12338","True"
"16","XS_1612","10789","True"
"16","XS_1612","03570","False"
"16","XS_1629","05904","True"
"12","XS_1224","20233","False"
"16","XS_1619","07837","True"
"12","XS_1201","01893","False"
"16","XS_1619","00166","False"
"16","XS_1612","20130","True"
"12","XS_1229","06766","False"
"8","XS_0825","15735","False"
"16","XS_1614","09288","True"
"12","XS_1208","09022","True"
"16","XS_1628","13435","True"
"12","XS_1205","04043","False"
"16","XS_1612","23318","True"
"8","XS_0815","21367","False"
"12","XS_1224","20653","False"
"12","XS_1208","11393","True"
"8","XS_0822","15458","False"
"8","XS_0807","17365","True"
"12","XS_1229","08909","True"
"12","XS_1211","28720","True"
"16","XS_1612","05021","False"
"16","XS_1639","00784","True"
"16","XS_1634","01414","True"
"8","XS_0825","01457","False"
