group,video,frame,is_face,sample_type,detector_sample
12,XS_1230,00418,True,high_density,mtcnn
16,XS_1634,10760,False,random,mtcnn
12,XS_1211,55832,False,random,mtcnn
16,XS_1631,07835,False,random,mtcnn
16,XS_1614,27613,True,high_density,mtcnn
12,XS_1205,11141,True,high_density,mtcnn
16,XS_1604,01436,False,random,mtcnn
12,XS_1201,05061,True,high_density,mtcnn
8,XS_0826,02580,True,high_density,mtcnn
8,XS_0803,21837,True,high_density,mtcnn
8,XS_0822,03457,False,random,mtcnn
16,XS_1635,15360,False,random,mtcnn
12,XS_1216,15945,False,high_density,mtcnn
12,XS_1216,18347,True,high_density,mtcnn
12,XS_1216,18345,True,high_density,mtcnn
16,XS_1619,24818,True,high_density,mtcnn
16,XS_1612,15045,False,random,mtcnn
8,XS_0805,15544,True,high_density,mtcnn
8,XS_0811,03995,False,random,mtcnn
16,XS_1631,15214,True,high_density,mtcnn
12,XS_1216,21729,False,random,mtcnn
12,XS_1219,26979,False,random,mtcnn
16,XS_1629,12828,False,random,mtcnn
16,XS_1631,21873,True,high_density,mtcnn
16,XS_1634,16607,True,high_density,mtcnn
8,XS_0811,06639,True,high_density,mtcnn
16,XS_1622,17741,True,random,mtcnn
8,XS_0826,13990,False,random,mtcnn
8,XS_0807,06421,True,high_density,mtcnn
12,XS_1229,03746,True,high_density,mtcnn
8,XS_0811,09198,False,random,mtcnn
8,XS_0801,00232,True,high_density,mtcnn
8,XS_0814,02582,True,high_density,mtcnn
12,XS_1219,00173,False,random,mtcnn
8,XS_0826,07762,True,random,mtcnn
8,XS_0801,02514,True,high_density,mtcnn
8,XS_0801,07409,False,random,mtcnn
12,XS_1230,02494,False,random,mtcnn
16,XS_1622,22415,True,high_density,mtcnn
12,XS_1224,13704,False,random,mtcnn
16,XS_1614,10214,True,high_density,mtcnn
16,XS_1635,15451,False,random,mtcnn
16,XS_1639,25278,True,high_density,mtcnn
8,XS_0825,08534,False,high_density,mtcnn
12,XS_1208,04489,False,random,mtcnn
12,XS_1222,15704,False,random,mtcnn
8,XS_0825,09725,False,high_density,mtcnn
16,XS_1629,06669,False,random,mtcnn
12,XS_1229,09579,True,high_density,mtcnn
12,XS_1230,02384,True,high_density,mtcnn
8,XS_0807,14629,True,high_density,mtcnn
8,XS_0805,02543,False,random,mtcnn
8,XS_0814,06957,False,random,mtcnn
16,XS_1631,19327,False,random,mtcnn
16,XS_1638,13280,True,random,mtcnn
12,XS_1216,00173,True,high_density,mtcnn
8,XS_0822,07990,False,random,mtcnn
12,XS_1216,22900,False,high_density,mtcnn
8,XS_0819,05283,False,high_density,mtcnn
16,XS_1634,06754,True,high_density,mtcnn
16,XS_1638,07913,False,random,mtcnn
16,XS_1639,18381,False,random,mtcnn
12,XS_1224,14590,True,high_density,mtcnn
8,XS_0807,15619,True,high_density,mtcnn
16,XS_1638,08287,True,high_density,mtcnn
12,XS_1201,03329,False,random,mtcnn
8,XS_0807,13897,True,high_density,mtcnn
12,XS_1211,05509,True,high_density,mtcnn
16,XS_1638,13233,True,high_density,mtcnn
12,XS_1218,01980,False,high_density,mtcnn
8,XS_0814,02631,True,high_density,mtcnn
12,XS_1211,41042,False,random,mtcnn
12,XS_1211,35861,True,high_density,mtcnn
16,XS_1638,19358,False,random,mtcnn
8,XS_0826,09628,True,high_density,mtcnn
12,XS_1230,01981,False,random,mtcnn
12,XS_1218,01733,False,high_density,mtcnn
16,XS_1628,06513,True,high_density,mtcnn
12,XS_1224,04350,True,high_density,mtcnn
12,XS_1224,18087,True,high_density,mtcnn
8,XS_0805,15243,True,high_density,mtcnn
12,XS_1229,02760,False,high_density,mtcnn
12,XS_1222,07408,False,random,mtcnn
16,XS_1622,13281,True,high_density,mtcnn
8,XS_0826,09658,True,random,mtcnn
8,XS_0801,15755,False,high_density,mtcnn
16,XS_1612,04590,True,high_density,mtcnn
16,XS_1631,00461,True,high_density,mtcnn
12,XS_1225,18825,True,high_density,mtcnn
16,XS_1639,04618,True,high_density,mtcnn
8,XS_0811,11645,True,high_density,mtcnn
12,XS_1208,04451,False,random,mtcnn
8,XS_0805,18923,False,random,mtcnn
16,XS_1614,03476,False,random,mtcnn
16,XS_1634,24528,True,high_density,mtcnn
16,XS_1628,32558,False,high_density,mtcnn
12,XS_1229,10468,False,random,mtcnn
8,XS_0819,24428,False,random,mtcnn
16,XS_1614,15891,True,high_density,mtcnn
8,XS_0821,26958,True,high_density,mtcnn
16,XS_1638,09618,False,high_density,mtcnn
8,XS_0801,09357,False,high_density,mtcnn
16,XS_1635,11311,False,high_density,mtcnn
8,XS_0825,22145,False,random,mtcnn
12,XS_1216,02232,False,random,mtcnn
12,XS_1218,17014,False,random,mtcnn
8,XS_0801,00293,True,high_density,mtcnn
16,XS_1634,17251,False,random,mtcnn
16,XS_1622,04601,False,random,mtcnn
12,XS_1225,45292,True,high_density,mtcnn
8,XS_0807,16975,False,random,mtcnn
16,XS_1635,20493,False,random,mtcnn
8,XS_0814,15528,False,random,mtcnn
8,XS_0821,03193,False,random,mtcnn
8,XS_0822,19170,True,high_density,mtcnn
16,XS_1614,03722,False,random,mtcnn
16,XS_1629,03308,True,high_density,mtcnn
8,XS_0819,14665,False,high_density,mtcnn
8,XS_0826,01390,False,random,mtcnn
8,XS_0814,03139,True,high_density,mtcnn
12,XS_1201,01912,False,random,mtcnn
8,XS_0814,06454,False,random,mtcnn
12,XS_1219,23035,True,high_density,mtcnn
12,XS_1225,29453,False,random,mtcnn
16,XS_1639,20504,False,random,mtcnn
12,XS_1224,25104,False,random,mtcnn
8,XS_0805,03859,False,random,mtcnn
8,XS_0815,24223,True,high_density,mtcnn
8,XS_0815,23294,True,high_density,mtcnn
16,XS_1622,17974,True,high_density,mtcnn
16,XS_1628,28843,False,random,mtcnn
8,XS_0814,05591,False,random,mtcnn
8,XS_0826,09311,True,high_density,mtcnn
16,XS_1629,03544,True,high_density,mtcnn
16,XS_1635,10675,False,random,mtcnn
12,XS_1211,61918,False,random,mtcnn
8,XS_0815,23593,True,high_density,mtcnn
12,XS_1225,05475,False,random,mtcnn
12,XS_1230,05638,True,high_density,mtcnn
12,XS_1216,17279,False,random,mtcnn
12,XS_1208,06968,False,random,mtcnn
16,XS_1639,00774,True,high_density,mtcnn
16,XS_1604,01536,True,high_density,mtcnn
12,XS_1230,06540,False,random,mtcnn
16,XS_1634,16685,False,random,mtcnn
12,XS_1211,61820,True,high_density,mtcnn
16,XS_1638,23887,True,high_density,mtcnn
12,XS_1208,00401,True,high_density,mtcnn
16,XS_1638,15308,False,random,mtcnn
16,XS_1619,05685,False,high_density,mtcnn
12,XS_1225,22254,True,high_density,mtcnn
8,XS_0811,10832,False,random,mtcnn
8,XS_0811,01456,False,random,mtcnn
8,XS_0825,09324,False,high_density,mtcnn
16,XS_1604,16989,True,high_density,mtcnn
12,XS_1218,16659,False,random,mtcnn
16,XS_1604,09986,True,high_density,mtcnn
12,XS_1216,04400,False,random,mtcnn
16,XS_1614,19614,True,high_density,mtcnn
12,XS_1205,35987,True,high_density,mtcnn
8,XS_0803,01586,False,random,mtcnn
8,XS_0801,08270,False,random,mtcnn
8,XS_0815,25280,False,random,mtcnn
12,XS_1201,05057,True,high_density,mtcnn
12,XS_1201,05190,False,random,mtcnn
12,XS_1211,28129,False,random,mtcnn
12,XS_1224,09503,False,random,mtcnn
16,XS_1629,08814,False,random,mtcnn
12,XS_1208,04762,True,high_density,mtcnn
8,XS_0815,09612,True,high_density,mtcnn
8,XS_0821,01438,False,high_density,mtcnn
16,XS_1604,23374,False,random,mtcnn
12,XS_1225,18520,False,random,mtcnn
16,XS_1635,05252,True,high_density,mtcnn
8,XS_0811,11291,True,high_density,mtcnn
12,XS_1218,08692,False,random,mtcnn
8,XS_0807,15941,True,high_density,mtcnn
8,XS_0814,19349,False,random,mtcnn
8,XS_0811,06804,True,high_density,mtcnn
8,XS_0822,01800,True,high_density,mtcnn
8,XS_0811,12237,False,high_density,mtcnn
8,XS_0819,10398,False,random,mtcnn
16,XS_1622,24668,False,random,mtcnn
12,XS_1205,63100,True,high_density,mtcnn
12,XS_1218,20292,False,high_density,mtcnn
8,XS_0822,15398,False,random,mtcnn
16,XS_1614,14076,True,high_density,mtcnn
12,XS_1230,02413,True,high_density,mtcnn
16,XS_1622,04770,True,high_density,mtcnn
12,XS_1205,10535,False,random,mtcnn
8,XS_0815,24491,True,random,mtcnn
12,XS_1229,00150,True,high_density,mtcnn
12,XS_1225,35996,False,random,mtcnn
16,XS_1628,00112,False,random,mtcnn
16,XS_1619,25028,True,random,mtcnn
8,XS_0819,15826,False,random,mtcnn
16,XS_1619,10697,True,random,mtcnn
12,XS_1229,01896,True,random,mtcnn
16,XS_1614,20388,True,high_density,mtcnn
12,XS_1225,24226,True,high_density,mtcnn
8,XS_0801,00175,True,high_density,mtcnn
12,XS_1216,19792,False,random,mtcnn
8,XS_0803,01017,False,high_density,mtcnn
8,XS_0805,12620,False,random,mtcnn
16,XS_1614,13582,False,random,mtcnn
12,XS_1219,02588,True,high_density,mtcnn
16,XS_1638,16540,False,random,mtcnn
8,XS_0803,14266,False,random,mtcnn
16,XS_1639,10709,True,high_density,mtcnn
8,XS_0821,14373,False,random,mtcnn
16,XS_1635,01279,True,high_density,mtcnn
16,XS_1631,19900,False,random,mtcnn
12,XS_1224,13844,True,high_density,mtcnn
8,XS_0805,01912,True,high_density,mtcnn
16,XS_1629,14842,False,random,mtcnn
16,XS_1604,19623,True,high_density,mtcnn
12,XS_1218,02083,False,random,mtcnn
8,XS_0822,20178,False,random,mtcnn
16,XS_1635,17542,True,high_density,mtcnn
8,XS_0801,03792,False,random,mtcnn
16,XS_1635,08936,True,high_density,mtcnn
8,XS_0807,14646,True,high_density,mtcnn
12,XS_1205,32594,False,random,mtcnn
16,XS_1612,08710,True,random,mtcnn
12,XS_1201,05091,True,high_density,mtcnn
16,XS_1631,13894,True,high_density,mtcnn
12,XS_1205,36972,True,high_density,mtcnn
12,XS_1208,04975,True,high_density,mtcnn
16,XS_1612,10119,True,random,mtcnn
12,XS_1222,06006,True,high_density,mtcnn
16,XS_1631,13898,True,high_density,mtcnn
8,XS_0815,15497,False,random,mtcnn
8,XS_0819,16471,False,random,mtcnn
8,XS_0826,02042,True,high_density,mtcnn
8,XS_0821,11335,False,high_density,mtcnn
16,XS_1619,17607,True,high_density,mtcnn
16,XS_1628,18779,True,random,mtcnn
12,XS_1218,20636,False,high_density,mtcnn
8,XS_0822,26897,False,random,mtcnn
12,XS_1208,02752,True,high_density,mtcnn
8,XS_0825,26677,False,random,mtcnn
12,XS_1219,21624,True,high_density,mtcnn
8,XS_0805,15585,True,high_density,mtcnn
12,XS_1205,53649,False,high_density,mtcnn
8,XS_0811,11278,True,high_density,mtcnn
8,XS_0814,01290,False,random,mtcnn
12,XS_1205,47672,False,random,mtcnn
12,XS_1225,01051,True,high_density,mtcnn
8,XS_0814,15727,True,high_density,mtcnn
12,XS_1222,07326,True,high_density,mtcnn
8,XS_0822,21679,True,high_density,mtcnn
8,XS_0805,08348,False,random,mtcnn
12,XS_1219,05927,False,random,mtcnn
12,XS_1211,49089,False,random,mtcnn
8,XS_0815,16478,True,high_density,mtcnn
12,XS_1219,25120,True,high_density,mtcnn
8,XS_0807,16211,False,random,mtcnn
16,XS_1604,15855,True,random,mtcnn
12,XS_1205,38288,True,high_density,mtcnn
8,XS_0825,17820,False,high_density,mtcnn
16,XS_1622,02083,False,random,mtcnn
16,XS_1619,08541,True,random,mtcnn
16,XS_1634,14690,False,random,mtcnn
8,XS_0801,02108,True,high_density,mtcnn
8,XS_0825,10957,False,random,mtcnn
16,XS_1631,15421,False,random,mtcnn
12,XS_1201,02832,False,random,mtcnn
16,XS_1622,09018,False,random,mtcnn
12,XS_1205,62948,True,random,mtcnn
16,XS_1614,01249,False,random,mtcnn
8,XS_0807,13216,False,random,mtcnn
16,XS_1604,10248,False,random,mtcnn
16,XS_1638,06803,False,random,mtcnn
16,XS_1639,25038,False,random,mtcnn
16,XS_1634,09651,True,high_density,mtcnn
12,XS_1222,20944,True,high_density,mtcnn
16,XS_1631,06400,True,high_density,mtcnn
8,XS_0803,21552,True,high_density,mtcnn
8,XS_0803,08183,False,random,mtcnn
16,XS_1619,22184,False,random,mtcnn
8,XS_0814,02574,True,high_density,mtcnn
12,XS_1224,03408,True,random,mtcnn
8,XS_0805,12962,True,high_density,mtcnn
8,XS_0826,13734,False,random,mtcnn
12,XS_1216,21918,False,random,mtcnn
8,XS_0811,07919,True,high_density,mtcnn
8,XS_0821,28189,True,high_density,mtcnn
12,XS_1219,08360,True,high_density,mtcnn
16,XS_1639,04993,False,random,mtcnn
12,XS_1230,00314,True,high_density,mtcnn
8,XS_0815,05938,False,random,mtcnn
8,XS_0807,05750,False,random,mtcnn
8,XS_0801,11868,False,random,mtcnn
12,XS_1216,21319,True,high_density,mtcnn
12,XS_1224,09032,True,high_density,mtcnn
12,XS_1205,03158,False,random,mtcnn
16,XS_1629,00515,True,high_density,mtcnn
12,XS_1224,10180,False,random,mtcnn
16,XS_1619,15743,False,random,mtcnn
8,XS_0822,00336,True,high_density,mtcnn
16,XS_1604,22480,False,random,mtcnn
16,XS_1634,22394,False,random,mtcnn
16,XS_1635,04494,True,high_density,mtcnn
12,XS_1225,53961,True,high_density,mtcnn
8,XS_0819,23679,False,random,mtcnn
16,XS_1628,12064,False,random,mtcnn
12,XS_1205,37041,True,high_density,mtcnn
12,XS_1219,04051,False,random,mtcnn
8,XS_0803,09583,False,random,mtcnn
16,XS_1622,14812,True,high_density,mtcnn
16,XS_1628,35432,False,random,mtcnn
8,XS_0819,21593,False,random,mtcnn
12,XS_1230,01744,True,high_density,mtcnn
16,XS_1631,07592,False,random,mtcnn
8,XS_0819,22651,False,random,mtcnn
16,XS_1604,25427,True,high_density,mtcnn
8,XS_0807,11459,False,random,mtcnn
16,XS_1614,17940,False,random,mtcnn
8,XS_0815,23108,True,random,mtcnn
12,XS_1224,06026,True,high_density,mtcnn
8,XS_0822,06271,True,high_density,mtcnn
8,XS_0815,25417,True,high_density,mtcnn
12,XS_1219,04261,False,random,mtcnn
12,XS_1225,08227,False,random,mtcnn
8,XS_0811,10096,False,random,mtcnn
12,XS_1211,37365,False,random,mtcnn
12,XS_1225,14809,True,high_density,mtcnn
16,XS_1634,13011,False,random,mtcnn
8,XS_0825,25662,False,high_density,mtcnn
8,XS_0814,02556,True,high_density,mtcnn
8,XS_0801,19022,False,random,mtcnn
16,XS_1614,07635,False,random,mtcnn
12,XS_1208,14534,False,random,mtcnn
8,XS_0825,19722,False,random,mtcnn
8,XS_0819,10481,False,high_density,mtcnn
16,XS_1628,02279,True,high_density,mtcnn
12,XS_1225,05727,False,random,mtcnn
8,XS_0821,19851,False,high_density,mtcnn
8,XS_0825,23164,False,high_density,mtcnn
8,XS_0811,13067,False,random,mtcnn
16,XS_1634,00198,False,random,mtcnn
8,XS_0821,27781,True,high_density,mtcnn
12,XS_1222,24064,False,random,mtcnn
16,XS_1631,03642,False,random,mtcnn
8,XS_0825,19825,False,random,mtcnn
16,XS_1604,21370,True,high_density,mtcnn
8,XS_0821,00582,False,random,mtcnn
12,XS_1229,06124,True,random,mtcnn
12,XS_1201,05083,True,high_density,mtcnn
8,XS_0805,03487,False,random,mtcnn
16,XS_1639,24086,False,random,mtcnn
16,XS_1629,25906,False,random,mtcnn
16,XS_1612,08665,True,random,mtcnn
16,XS_1612,03334,True,high_density,mtcnn
12,XS_1211,03607,True,high_density,mtcnn
16,XS_1629,21955,False,high_density,mtcnn
12,XS_1218,21040,False,high_density,mtcnn
16,XS_1614,27133,True,random,mtcnn
8,XS_0814,07351,False,random,mtcnn
8,XS_0821,16715,False,random,mtcnn
12,XS_1201,04924,True,high_density,mtcnn
12,XS_1229,04323,False,random,mtcnn
16,XS_1619,09775,True,high_density,mtcnn
16,XS_1629,23972,False,random,mtcnn
16,XS_1604,23109,True,high_density,mtcnn
8,XS_0819,07723,False,high_density,mtcnn
8,XS_0826,02115,True,high_density,mtcnn
12,XS_1201,00600,False,random,mtcnn
16,XS_1631,07302,False,random,mtcnn
12,XS_1230,03697,False,random,mtcnn
12,XS_1222,07036,False,random,mtcnn
8,XS_0815,07606,False,random,mtcnn
8,XS_0821,23380,False,random,mtcnn
12,XS_1205,65488,False,random,mtcnn
16,XS_1635,16880,True,random,mtcnn
16,XS_1628,08869,True,high_density,mtcnn
16,XS_1629,03565,True,high_density,mtcnn
12,XS_1222,23153,True,high_density,mtcnn
12,XS_1222,01827,True,high_density,mtcnn
8,XS_0822,06782,True,high_density,mtcnn
12,XS_1229,01100,False,high_density,mtcnn
12,XS_1219,19061,False,random,mtcnn
16,XS_1604,17768,False,random,mtcnn
16,XS_1612,03904,False,random,mtcnn
12,XS_1208,06649,True,high_density,mtcnn
12,XS_1230,04483,False,random,mtcnn
8,XS_0815,07280,True,high_density,mtcnn
12,XS_1219,08291,False,random,mtcnn
12,XS_1222,22157,True,high_density,mtcnn
12,XS_1219,02542,True,high_density,mtcnn
12,XS_1229,09985,False,random,mtcnn
16,XS_1639,16517,True,high_density,mtcnn
16,XS_1635,18134,False,random,mtcnn
8,XS_0801,13708,False,random,mtcnn
12,XS_1225,43293,False,random,mtcnn
16,XS_1628,25744,False,random,mtcnn
16,XS_1638,08792,True,high_density,mtcnn
8,XS_0803,21728,True,high_density,mtcnn
8,XS_0822,23667,False,random,mtcnn
12,XS_1201,04778,True,high_density,mtcnn
12,XS_1216,16193,False,random,mtcnn
8,XS_0811,04909,False,random,mtcnn
16,XS_1639,01050,False,random,mtcnn
8,XS_0803,12338,True,high_density,mtcnn
16,XS_1612,10789,True,high_density,mtcnn
16,XS_1612,03570,False,random,mtcnn
16,XS_1629,05904,True,high_density,mtcnn
12,XS_1224,20233,False,random,mtcnn
16,XS_1619,07837,True,high_density,mtcnn
12,XS_1201,01893,False,random,mtcnn
16,XS_1619,00166,False,random,mtcnn
16,XS_1612,20130,True,high_density,mtcnn
12,XS_1229,06766,False,random,mtcnn
8,XS_0825,15735,False,random,mtcnn
16,XS_1614,09288,True,high_density,mtcnn
12,XS_1208,09022,True,high_density,mtcnn
16,XS_1628,13435,True,random,mtcnn
12,XS_1205,04043,False,random,mtcnn
16,XS_1612,23318,True,high_density,mtcnn
8,XS_0815,21367,False,random,mtcnn
12,XS_1224,20653,False,random,mtcnn
12,XS_1208,11393,True,high_density,mtcnn
8,XS_0822,15458,False,random,mtcnn
8,XS_0807,17365,True,random,mtcnn
12,XS_1229,08909,True,high_density,mtcnn
12,XS_1211,28720,True,high_density,mtcnn
16,XS_1612,05021,False,random,mtcnn
16,XS_1639,00784,True,random,mtcnn
16,XS_1634,01414,True,high_density,mtcnn
8,XS_0825,01457,False,random,mtcnn
16,XS_1619,18658,True,high_density,openpose
16,XS_1639,09010,False,random,openpose
12,XS_1208,13430,False,random,openpose
8,XS_0801,06980,False,random,openpose
12,XS_1218,21184,False,high_density,openpose
12,XS_1222,02702,False,random,openpose
16,XS_1619,04367,False,random,openpose
16,XS_1629,11019,False,high_density,openpose
12,XS_1224,22909,False,high_density,openpose
8,XS_0825,01798,False,random,openpose
12,XS_1216,04017,True,high_density,openpose
8,XS_0821,09778,False,random,openpose
12,XS_1211,40978,False,random,openpose
8,XS_0811,09717,True,high_density,openpose
8,XS_0826,10917,False,high_density,openpose
8,XS_0819,18038,False,random,openpose
12,XS_1208,04747,True,high_density,openpose
8,XS_0815,11699,False,random,openpose
12,XS_1205,22272,False,high_density,openpose
8,XS_0803,09551,True,high_density,openpose
8,XS_0807,17716,True,high_density,openpose
12,XS_1224,13521,True,high_density,openpose
16,XS_1638,26250,False,random,openpose
16,XS_1639,19486,True,high_density,openpose
8,XS_0815,23313,True,high_density,openpose
16,XS_1628,42947,False,random,openpose
12,XS_1205,20251,False,high_density,openpose
8,XS_0826,12221,False,high_density,openpose
8,XS_0819,13463,False,random,openpose
12,XS_1219,09339,False,random,openpose
16,XS_1619,10506,True,high_density,openpose
16,XS_1631,15254,False,high_density,openpose
12,XS_1201,05797,False,random,openpose
12,XS_1230,04225,False,random,openpose
12,XS_1219,14250,False,high_density,openpose
12,XS_1201,01252,False,random,openpose
16,XS_1604,22729,True,high_density,openpose
8,XS_0821,04191,False,high_density,openpose
12,XS_1208,09231,False,random,openpose
12,XS_1222,06544,False,random,openpose
16,XS_1639,11391,True,high_density,openpose
16,XS_1634,03065,True,high_density,openpose
8,XS_0805,12431,False,high_density,openpose
16,XS_1614,24058,True,high_density,openpose
16,XS_1604,11574,False,high_density,openpose
12,XS_1205,04624,False,high_density,openpose
8,XS_0815,23038,True,high_density,openpose
16,XS_1638,13047,True,high_density,openpose
16,XS_1604,15195,False,high_density,openpose
16,XS_1604,16705,True,random,openpose
8,XS_0822,17344,False,random,openpose
8,XS_0819,14674,False,random,openpose
12,XS_1201,06906,True,high_density,openpose
8,XS_0801,12327,False,random,openpose
12,XS_1225,26291,True,random,openpose
8,XS_0822,01248,True,high_density,openpose
8,XS_0822,15651,False,random,openpose
8,XS_0803,08414,True,random,openpose
8,XS_0819,20259,False,high_density,openpose
16,XS_1622,24549,False,random,openpose
16,XS_1622,05163,True,high_density,openpose
12,XS_1211,06201,True,high_density,openpose
8,XS_0822,21173,True,high_density,openpose
8,XS_0803,01520,False,high_density,openpose
8,XS_0814,14769,False,random,openpose
8,XS_0826,03615,False,random,openpose
16,XS_1628,33466,False,high_density,openpose
16,XS_1614,12669,False,random,openpose
8,XS_0826,02745,True,high_density,openpose
16,XS_1639,23534,False,random,openpose
12,XS_1224,23789,False,random,openpose
8,XS_0807,07517,True,high_density,openpose
8,XS_0807,12110,False,random,openpose
12,XS_1208,01554,False,random,openpose
8,XS_0826,10952,False,random,openpose
16,XS_1622,17416,True,high_density,openpose
12,XS_1229,08751,False,high_density,openpose
16,XS_1619,07186,True,high_density,openpose
16,XS_1629,05474,False,random,openpose
12,XS_1211,00936,True,high_density,openpose
16,XS_1631,12291,False,random,openpose
8,XS_0805,14339,False,random,openpose
16,XS_1612,01548,True,high_density,openpose
8,XS_0819,17421,False,random,openpose
12,XS_1225,30345,False,random,openpose
12,XS_1225,17265,True,high_density,openpose
12,XS_1229,06688,False,random,openpose
12,XS_1225,26944,False,random,openpose
12,XS_1224,13076,True,high_density,openpose
12,XS_1205,14310,False,high_density,openpose
8,XS_0826,04668,False,random,openpose
8,XS_0805,18718,False,random,openpose
12,XS_1222,11849,False,random,openpose
12,XS_1219,00623,True,high_density,openpose
8,XS_0821,18749,False,high_density,openpose
16,XS_1631,20976,True,high_density,openpose
12,XS_1230,01730,True,high_density,openpose
12,XS_1216,00253,False,random,openpose
12,XS_1218,20281,False,random,openpose
16,XS_1628,27616,False,high_density,openpose
16,XS_1614,06215,True,random,openpose
12,XS_1211,39582,False,random,openpose
16,XS_1635,14423,False,high_density,openpose
12,XS_1205,31612,False,high_density,openpose
16,XS_1639,00862,True,high_density,openpose
8,XS_0811,12743,False,random,openpose
16,XS_1622,01172,True,high_density,openpose
12,XS_1208,05752,False,random,openpose
16,XS_1614,02811,True,high_density,openpose
16,XS_1604,15658,True,high_density,openpose
8,XS_0825,13317,False,high_density,openpose
16,XS_1639,23972,False,random,openpose
8,XS_0826,03269,True,high_density,openpose
16,XS_1629,10255,False,high_density,openpose
8,XS_0815,08199,False,random,openpose
16,XS_1622,06646,False,random,openpose
12,XS_1216,03609,False,random,openpose
12,XS_1208,15395,False,random,openpose
16,XS_1639,05295,False,random,openpose
16,XS_1628,33737,True,high_density,openpose
8,XS_0821,19736,False,random,openpose
8,XS_0811,11820,True,random,openpose
16,XS_1634,06752,True,high_density,openpose
8,XS_0807,04602,True,high_density,openpose
12,XS_1219,21850,False,random,openpose
8,XS_0811,09956,False,random,openpose
12,XS_1222,00728,False,random,openpose
12,XS_1230,01988,False,random,openpose
12,XS_1211,56397,False,high_density,openpose
8,XS_0821,00749,False,random,openpose
8,XS_0814,18502,False,random,openpose
12,XS_1230,00510,False,high_density,openpose
8,XS_0805,18024,False,random,openpose
12,XS_1218,18789,False,high_density,openpose
16,XS_1614,26817,False,random,openpose
8,XS_0815,15136,False,random,openpose
12,XS_1229,10696,False,high_density,openpose
16,XS_1638,08747,False,high_density,openpose
16,XS_1638,03657,True,high_density,openpose
8,XS_0801,11435,False,high_density,openpose
12,XS_1225,46300,False,random,openpose
8,XS_0801,07223,False,random,openpose
12,XS_1216,28024,False,high_density,openpose
